passenger_id,customer_id,first_name,last_name,passport_number,passenger_type
1,581,Alexander,Bailey,US1001001,adult
2,729,Ronald,Cox,US1002002,adult
3,943,Barbara,Jones,US1003003,adult
4,347,Megan,Gutierrez,US1004004,adult
5,1000,Emily,Adams,US1005005,adult
6,90,Scott,Ramos,US1006006,adult
7,487,Camila,Price,US1007007,adult
8,853,Jack,Nelson,US1008008,adult
9,128,Michael,Kim,US1009009,adult
10,998,Susan,Howard,US1010010,adult
11,652,Heather,Jackson,US1011011,adult
12,702,Edward,Williams,US1012012,adult
13,581,Lily,Bailey,NULL,minor
14,729,Max,Cox,NULL,minor
15,90,Sofia,Ramos,NULL,minor
16,NULL,James,Carter,US2001001,employee
17,NULL,Linda,Nguyen,US2002002,employee
18,NULL,Marcus,Webb,US2003003,employee
19,NULL,Diana,Flores,US2004004,employee
20,NULL,Trevor,Shah,US2005005,employee
21,NULL,Monica,Okafor,US2006006,employee
22,NULL,Brian,Tran,US2007007,employee
23,NULL,Sandra,Kowalski,US2008008,employee
24,NULL,Derek,Pham,US2009009,employee
25,NULL,Angela,Rivera,US2010010,employee
